Year,Month,Market_Group,Region,Channel_Level,Subchannel / Partner,Sales Employee / Account,Company_Group,Currency,Metric,Value_kEUR,Value_EUR,Date
2025,01/01/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,142,142000,01/01/2025
2025,01/02/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,127.375,127375,01/02/2025
2025,01/03/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,183.75,183750,01/03/2025
2025,01/04/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,166,166000,01/04/2025
2025,01/05/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,169.125,169125,01/05/2025
2025,01/06/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,151.375,151375,01/06/2025
2025,01/07/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,154.5,154500,01/07/2025
2025,01/08/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,98.125,98125,01/08/2025
2025,01/09/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,178.5,178500,01/09/2025
2025,01/10/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,214,214000,01/10/2025
2025,01/11/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,178.5,178500,01/11/2025
2025,01/12/2025,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,136.75,136750,01/12/2025
2025,01/01/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,4,4000,01/01/2025
2025,01/02/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,5,5000,01/02/2025
2025,01/03/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,8,8000,01/03/2025
2025,01/04/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,7.5,7500,01/04/2025
2025,01/05/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,9,9000,01/05/2025
2025,01/06/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,8.5,8500,01/06/2025
2025,01/07/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,10,10000,01/07/2025
2025,01/08/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,7,7000,01/08/2025
2025,01/09/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,13.5,13500,01/09/2025
2025,01/10/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,14.5,14500,01/10/2025
2025,01/11/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,13.5,13500,01/11/2025
2025,01/12/2025,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,9.5,9500,01/12/2025
2025,01/01/2025,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,348,348000,01/01/2025
2025,01/02/2025,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,310.75,310750,01/02/2025
2025,01/03/2025,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,447.5,447500,01/03/2025
