Year,Month,Market_Group,Region,Channel_Level,Subchannel / Partner,Sales Employee / Account,Company_Group,Currency,Metric,Value_kEUR,Value_EUR,Date,,,,,,,,,,,,,,
2026,01/01/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,142,142236,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,171,170555,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,211,211194,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,181,180715,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,191,190875,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,171,170555,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,171,170555,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,136,136076,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,205,205035,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,213,213194,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,189,188715,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Budget,152,152236,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,4,3850,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,12,12400,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,14,13500,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,13,12675,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,21,20950,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,18,18400,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,12,12400,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,8,7575,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,17,17225,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,22,21500,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,21,20675,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Core Markets,France,Unspecified,,,Company 1,EUR,Budget,14,13850,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,312,312267,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,380,379876,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,470,470096,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,403,403181,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,426,426486,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,383,382876,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,382,381876,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,303,302962,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,464,463791,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,482,482096,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,423,423181,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Core Markets,Germany,Unspecified,,,Company 1,EUR,Budget,342,342267,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,1,1050,01/01/2026,,,,,,,,,,,,,,
