Year,Month,Date,Market_Group,Region,Channel_Level,Subchannel / Partner,Sales Employee / Account,Company_Group,Currency,Metric,Value_kUSD,Value_kEUR,Value_EUR,,,,,,,,,,,,,
2026,1,01/01/2026,USA,Northeast,,,,Company 1,USD,Budget,"7,920",,,,,,,,,,,,,,,
2026,2,01/02/2026,USA,Northeast,,,,Company 1,USD,Budget,"12,920",,,,,,,,,,,,,,,
2026,3,01/03/2026,USA,Northeast,,,,Company 1,USD,Budget,"13,910",,,,,,,,,,,,,,,
2026,4,01/04/2026,USA,Northeast,,,,Company 1,USD,Budget,"13,910",,,,,,,,,,,,,,,
2026,5,01/05/2026,USA,Northeast,,,,Company 1,USD,Budget,"12,910",,,,,,,,,,,,,,,
2026,6,01/06/2026,USA,Northeast,,,,Company 1,USD,Budget,"16,920",,,,,,,,,,,,,,,
2026,7,01/07/2026,USA,Northeast,,,,Company 1,USD,Budget,"18,920",,,,,,,,,,,,,,,
2026,8,01/08/2026,USA,Northeast,,,,Company 1,USD,Budget,"9,940",,,,,,,,,,,,,,,
2026,9,01/09/2026,USA,Northeast,,,,Company 1,USD,Budget,"25,910",,,,,,,,,,,,,,,
2026,10,01/10/2026,USA,Northeast,,,,Company 1,USD,Budget,"22,900",,,,,,,,,,,,,,,
2026,11,01/11/2026,USA,Northeast,,,,Company 1,USD,Budget,"25,910",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Northeast,,,,Company 1,USD,Budget,"16,930",,,,,,,,,,,,,,,
2026,1,01/01/2026,USA,Central,,,,Company 1,USD,Budget,"14,880",,,,,,,,,,,,,,,
2026,2,01/02/2026,USA,Central,,,,Company 1,USD,Budget,"19,880",,,,,,,,,,,,,,,
2026,3,01/03/2026,USA,Central,,,,Company 1,USD,Budget,"21,740",,,,,,,,,,,,,,,
2026,4,01/04/2026,USA,Central,,,,Company 1,USD,Budget,"21,740",,,,,,,,,,,,,,,
2026,5,01/05/2026,USA,Central,,,,Company 1,USD,Budget,"20,740",,,,,,,,,,,,,,,
2026,6,01/06/2026,USA,Central,,,,Company 1,USD,Budget,"23,880",,,,,,,,,,,,,,,
2026,7,01/07/2026,USA,Central,,,,Company 1,USD,Budget,"25,880",,,,,,,,,,,,,,,
2026,8,01/08/2026,USA,Central,,,,Company 1,USD,Budget,"15,160",,,,,,,,,,,,,,,
2026,9,01/09/2026,USA,Central,,,,Company 1,USD,Budget,"33,740",,,,,,,,,,,,,,,
2026,10,01/10/2026,USA,Central,,,,Company 1,USD,Budget,"31,600",,,,,,,,,,,,,,,
2026,11,01/11/2026,USA,Central,,,,Company 1,USD,Budget,"33,740",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Central,,,,Company 1,USD,Budget,"23,020",,,,,,,,,,,,,,,
2026,1,01/01/2026,USA,Southeast,,,,Company 1,USD,Budget,"22,160",,,,,,,,,,,,,,,
2026,2,01/02/2026,USA,Southeast,,,,Company 1,USD,Budget,"27,160",,,,,,,,,,,,,,,
2026,3,01/03/2026,USA,Southeast,,,,Company 1,USD,Budget,"29,930",,,,,,,,,,,,,,,
2026,4,01/04/2026,USA,Southeast,,,,Company 1,USD,Budget,"29,930",,,,,,,,,,,,,,,
2026,5,01/05/2026,USA,Southeast,,,,Company 1,USD,Budget,"28,930",,,,,,,,,,,,,,,
2026,6,01/06/2026,USA,Southeast,,,,Company 1,USD,Budget,"31,160",,,,,,,,,,,,,,,
2026,7,01/07/2026,USA,Southeast,,,,Company 1,USD,Budget,"33,160",,,,,,,,,,,,,,,
2026,8,01/08/2026,USA,Southeast,,,,Company 1,USD,Budget,"20,620",,,,,,,,,,,,,,,
2026,9,01/09/2026,USA,Southeast,,,,Company 1,USD,Budget,"41,930",,,,,,,,,,,,,,,
2026,10,01/10/2026,USA,Southeast,,,,Company 1,USD,Budget,"40,700",,,,,,,,,,,,,,,
2026,11,01/11/2026,USA,Southeast,,,,Company 1,USD,Budget,"41,930",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Southeast,,,,Company 1,USD,Budget,"29,390",,,,,,,,,,,,,,,
2026,1,01/01/2026,USA,West,,,,Company 1,USD,Budget,"13,760",,,,,,,,,,,,,,,
2026,2,01/02/2026,USA,West,,,,Company 1,USD,Budget,"18,760",,,,,,,,,,,,,,,
2026,3,01/03/2026,USA,West,,,,Company 1,USD,Budget,"20,480",,,,,,,,,,,,,,,
2026,4,01/04/2026,USA,West,,,,Company 1,USD,Budget,"20,480",,,,,,,,,,,,,,,
2026,5,01/05/2026,USA,West,,,,Company 1,USD,Budget,"19,480",,,,,,,,,,,,,,,
2026,6,01/06/2026,USA,West,,,,Company 1,USD,Budget,"22,760",,,,,,,,,,,,,,,
2026,7,01/07/2026,USA,West,,,,Company 1,USD,Budget,"24,760",,,,,,,,,,,,,,,
2026,8,01/08/2026,USA,West,,,,Company 1,USD,Budget,"14,320",,,,,,,,,,,,,,,
2026,9,01/09/2026,USA,West,,,,Company 1,USD,Budget,"32,480",,,,,,,,,,,,,,,
2026,10,01/10/2026,USA,West,,,,Company 1,USD,Budget,"30,200",,,,,,,,,,,,,,,
2026,11,01/11/2026,USA,West,,,,Company 1,USD,Budget,"32,480",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,West,,,,Company 1,USD,Budget,"22,040",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"7,200",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"7,200",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"8,100",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"8,100",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"8,100",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"7,200",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"7,200",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"5,400",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"8,100",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"9,000",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"8,100",,,,,,,,,,,,,,,
2026,12,01/12/2026,USA,Other,,,,Company 1,USD,Budget,"6,300",,,,,,,,,,,,,,,
