Entity,Market_Group,Region,Channel_Level,Company_Group,Sales_Employee,Customer_Code,Customer_Name,Sales_Employee_Cleaned
Descomed,UK,UK,Global etailers,Company 3,,10048,Luisa Via Roma Spa; Italy,
Descomed,UK,UK,Retail ,Company 1,,51101,Liberty Retail Ltd,
Descomed,UK,UK,Retail ,Company 1,,51172,Harrods (UK) Ltd.,
Descomed,UK,UK,Global etailers,Company 3,,51175,The Hut.com Ltd; Poland,
Descomed,UK,UK,Global etailers,Company 3,,51176,The Hut.com Ltd; GB,
Descomed,UK,UK,Retail ,Company 1,,51176,THG Beauty Limited,
Descomed,UK,UK,Global etailers,Company 3,,51177,Net-A-Porter; London GB,
Descomed,UK,UK,Global etailers,Company 3,,51178,Net-A-Porter; USA,
Descomed,UK,UK,Global etailers,Company 3,,51179,Net-A-Porter; Hong Kong,
Descomed,UK,UK,Global etailers,Company 3,,51180,Net-A-Porter; Italy,
Descomed,UK,UK,Retail ,Company 1,,51183,"John Bell & Croyden, London",
Descomed,UK,UK,Spa ,Company 1,,51184,The Connaught Hotel,
Descomed,UK,UK,Spa ,Company 1,,51184,The Connaught Hotel,
Descomed,UK,UK,Spa ,Company 1,,51185,Four Seasons Trinity,
Descomed,UK,UK,Spa ,Company 1,,51185,Four Seasons Hotel London,
Descomed,UK,UK,Spa ,Company 1,,51186,hope street hotel; Liverpool,
Descomed,UK,UK,Spa ,Company 1,,51187,Julia Knight; Sale,
Descomed,UK,UK,Retail ,Company 1,,51187,Julia Knight; Sale,
Descomed,UK,UK,Spa ,Company 1,,51189,RTL Limited; The Grove Hotel,
Descomed,UK,UK,Spa ,Company 1,,51191,Louise Godsil; Tranquil Escape,
Descomed,UK,UK,Spa ,Company 1,,51192,Rachel Staggs Ltd.,
Descomed,UK,UK,Spa ,Company 1,,51193,Mweya PVT Ltd; Dubai,
Descomed,UK,UK,Spa ,Company 1,,51194,Artfarm Limited; The Fife Arms Braemar,
Descomed,UK,Interco,Interco,,Interco,51202,"DESCOMED GB, London ( PR + Other )",Interco
Descomed,UK,UK,Retail ,Company 1,,51206,"DESCOMED GB, London (Personal BlueGem)",
Descomed,UK,Interco,Interco,,Interco,51206,"DESCOMED GB, London (Personal BlueGem)",Interco
Descomed,UK,Interco,Interco,,Interco,51207,,Interco
Descomed,UK,UK,Retail ,Company 1,,51210,Katarzyna Walkowiak; MA Liberty,
Descomed,UK,Interco,Interco,,Interco,51210,Katarzyna Walkowiak; MA Liberty,Interco
Descomed,UK,UK,Spa ,Company 1,,53000,IzzyJ Aesthetics,
Descomed,UK,UK,Spa ,Company 1,,53008,Saintly Skin;Frederika Van Hagan,
Descomed,UK,UK,Spa ,Company 1,,53011,Liliana Fernandes,
Descomed,UK,UK,Retail ,Company 1,,53012,Virginie Alvarez,
Descomed,UK,UK,Spa ,Company 1,,53014,Oblique house of aesthetics; London,
Descomed,UK,UK,Spa ,Company 1,,53015,Hilton Bankside; Ken Tui Management Ltd.; London,
Descomed,UK,UK,Spa ,Company 1,,53015,Ken Tui Management Ltd.; London,
Descomed,UK,UK,Spa ,Company 1,,53016,Royal London House; Ken Tui Managem. Ltd,
Descomed,UK,UK,Spa ,Company 1,,53017,Piccadilly Town House; Ken Tui Managem. Ltd,
Descomed,UK,UK,Spa ,Company 1,,53018,"The Goodwood Hotel, Chichester",
Descomed,UK,UK,Spa ,Company 1,,53019,M Alexander London,
Descomed,UK,UK,Spa ,Company 1,,53020,Guendalina The Skin Sculpter LTD,
Descomed,UK,UK,Spa ,Company 1,,53021,Ayadi Ltd.,
Descomed,UK,UK,eCommerce (excl. USA),Company 3,,59100,Shopify UK,
Descomed,UK,UK,eCommerce (excl. USA),Company 3,,59200,Shopify ROW,
AG,Core Markets,Switzerland,,Company 1,Ch. Rose,,,Christiane
AG,Core Markets,Switzerland,,Company 1,Y. Januario,,,Yannick
AG,Core Markets,Switzerland,,Company 1,G. Monopoli,,,Christiane
