Year,Month,Market_Group,Region,Channel_Level,Subchannel / Partner,Sales Employee / Account,Company_Group,Currency,Metric,Value_kEUR,Value_EUR,Date
2025,1,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,108.08963,108089.63,01/01/2025
2025,2,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,153,153000,01/02/2025
2025,3,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,159,159000,01/03/2025
2025,4,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,147.60143,147601.43,01/04/2025
2025,5,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,167,167000,01/05/2025
2025,6,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,128.27474,128274.74,01/06/2025
2025,7,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,170.28401,170284.01,01/07/2025
2025,8,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,126.71522,126715.22,01/08/2025
2025,9,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,184.72145,184721.45,01/09/2025
2025,10,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,193.36232,193362.32,01/10/2025
2025,11,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,191.22368,191223.68,01/11/2025
2025,12,Core Markets,Benelux,Unspecified,,,Company 1,EUR,Sales PY,177.4715,177471.5,01/12/2025
2025,1,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,1.7425,1742.5,01/01/2025
2025,2,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,1,1000,01/02/2025
2025,3,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,4,4000,01/03/2025
2025,4,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,11.52947,11529.47,01/04/2025
2025,5,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,1,1000,01/05/2025
2025,6,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,2.21789,2217.89,01/06/2025
2025,7,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,1.07523,1075.23,01/07/2025
2025,8,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,9.14599,9145.99,01/08/2025
2025,9,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,1.38051,1380.51,01/09/2025
2025,10,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,1.06958,1069.58,01/10/2025
2025,11,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,1.55444,1554.44,01/11/2025
2025,12,Core Markets,France,Unspecified,,,Company 1,EUR,Sales PY,6.36582,6365.82,01/12/2025
2025,1,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,415.19585,415195.85,01/01/2025
2025,2,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,297,297000,01/02/2025
2025,3,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,364,364000,01/03/2025
2025,4,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,408.71019,408710.19,01/04/2025
2025,5,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,395,395000,01/05/2025
2025,6,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,250.14514,250145.14,01/06/2025
2025,7,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,411.47438,411474.38,01/07/2025
2025,8,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,400.5712,400571.2,01/08/2025
2025,9,Core Markets,Germany,Unspecified,,,Company 1,EUR,Sales PY,374.33761,374337.61,01/09/2025
