Year,Month,Date,Market_Group,Region,Channel_Level,Subchannel / Partner,Sales Employee / Account,Company_Group,Currency,Metric,Value_kEUR,Value_EUR,Value_kUSD
2025,1,01/01/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,3.75043
2025,2,01/02/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,10.93459
2025,3,01/03/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,5.73686
2025,4,01/04/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,2.48953
2025,5,01/05/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,0.90591
2025,6,01/06/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,5.6827
2025,7,01/07/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,21.567
2025,8,01/08/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,7.51873
2025,9,01/09/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,6.55028
2025,10,01/10/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,5.28903
2025,11,01/11/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,4.004
2025,12,01/12/2025,USA,Northeast,,,,Company 1,USD,Sales PY,,,7.42119
2025,1,01/01/2025,USA,Central,,,,Company 1,USD,Sales PY,,,6.28586
2025,2,01/02/2025,USA,Central,,,,Company 1,USD,Sales PY,,,8.20214
2025,3,01/03/2025,USA,Central,,,,Company 1,USD,Sales PY,,,0
2025,4,01/04/2025,USA,Central,,,,Company 1,USD,Sales PY,,,3.57183
2025,5,01/05/2025,USA,Central,,,,Company 1,USD,Sales PY,,,5.22936
2025,6,01/06/2025,USA,Central,,,,Company 1,USD,Sales PY,,,20.91236
2025,7,01/07/2025,USA,Central,,,,Company 1,USD,Sales PY,,,9.41419
2025,8,01/08/2025,USA,Central,,,,Company 1,USD,Sales PY,,,2.32427
2025,9,01/09/2025,USA,Central,,,,Company 1,USD,Sales PY,,,10.32479
2025,10,01/10/2025,USA,Central,,,,Company 1,USD,Sales PY,,,23.102
2025,11,01/11/2025,USA,Central,,,,Company 1,USD,Sales PY,,,4.96631
2025,12,01/12/2025,USA,Central,,,,Company 1,USD,Sales PY,,,7.88682
2025,1,01/01/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,51.22289
2025,2,01/02/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,28.87549
2025,3,01/03/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,6.47009
2025,4,01/04/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,28.34579
2025,5,01/05/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,14.06096
2025,6,01/06/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,10.42084
2025,7,01/07/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,20.42691
2025,8,01/08/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,9.92311
2025,9,01/09/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,13.79319
2025,10,01/10/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,10.7891
2025,11,01/11/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,19.8981
2025,12,01/12/2025,USA,Southeast,,,,Company 1,USD,Sales PY,,,16.57272
2025,1,01/01/2025,USA,West,,,,Company 1,USD,Sales PY,,,11.7917
2025,2,01/02/2025,USA,West,,,,Company 1,USD,Sales PY,,,16.18873
2025,3,01/03/2025,USA,West,,,,Company 1,USD,Sales PY,,,20.59798
2025,4,01/04/2025,USA,West,,,,Company 1,USD,Sales PY,,,52.96878
2025,5,01/05/2025,USA,West,,,,Company 1,USD,Sales PY,,,49.62001
2025,6,01/06/2025,USA,West,,,,Company 1,USD,Sales PY,,,22.47652
2025,7,01/07/2025,USA,West,,,,Company 1,USD,Sales PY,,,21.6252
2025,8,01/08/2025,USA,West,,,,Company 1,USD,Sales PY,,,12.38407
2025,9,01/09/2025,USA,West,,,,Company 1,USD,Sales PY,,,40.55904
2025,10,01/10/2025,USA,West,,,,Company 1,USD,Sales PY,,,30.6722
2025,11,01/11/2025,USA,West,,,,Company 1,USD,Sales PY,,,30.25929
2025,12,01/12/2025,USA,West,,,,Company 1,USD,Sales PY,,,14.45481
2025,12,01/01/2025,USA,Other,,,,Company 1,USD,Sales PY,,,0
2025,12,01/02/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/03/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/04/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/05/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/06/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/07/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/08/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/09/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/10/2025,USA,,,,,Company 1,USD,Sales PY,,,14.4038
2025,12,01/11/2025,USA,,,,,Company 1,USD,Sales PY,,,0
2025,12,01/12/2025,USA,,,,,Company 1,USD,Sales PY,,,3.19301
