kEUR,Dec-25A MTD,Budget,Prior,% vs Bud
Germany,72,0,321,21.8%
Benelux,31,0,151,22.5%
Switzerland,20,0,58,35.9%
Spain,-,0,11,0.0%
France,-,0,2,0.0%
Italy,-,-,-,-
UK - Spa,1,0,15,3.2%
UK - Retail,2,0,13,20.0%
USA - Spa,-,0,64,0.0%
USA - Retail,-,0,-,0.0%
Distributor - Austria,-,0,34,0.0%
Distributor - South Africa,-,0,-,0.0%
Distributor - Russia,-,-,-,-
Distributor - Other EU,-,0,8,0.0%
Distributor - Other ROW,-,0,-,0.0%
Distributor - New,-,0,-,0.0%
Export - Direct business,-,0,0,0.0%
Company 1 Sales,125,1,677,14.6%
Distributor - China,-,-,-,-
Distributor - Middle East,-,0,-,0.0%
Distributor - APAC,-,0,-,0.0%
Company 2 Sales,-,0,-,0.0%
eCommerce EU (incl. UK),6,0,43,6.8%
Amazon,4,0,5,76.8%
eCommerce USA,4,0,45,16.2%
Global etailers,-,0,-,0.0%
Company 3 Sales,14,0,94,11.6%
Total Sales,139,1,771,12.4%
Kerstin,17,0,58,29.7%
Marina,10,0,55,16.0%
Sibylle,33,0,116,24.9%
Aracelli,6,0,60,11.7%
Retail,-,0,16,0.0%
Other DE,2,0,17,28.1%
Germany,68,0,322,20.9%
Marjelein,13,0,65,18.6%
Gabrielle,18,0,85,24.5%
Other NL,-,0,-,0.0%
Benelux,31,0,150,21.2%
Christiane,20,0,55,37.3%
FR Swiss,-,0,1,0.0%
Other CH,-,0,2,0.0%
Switzerland,20,0,58,33.7%
Spain,-,0,11,0.0%
France,-,0,2,0.0%
Italy,-,-,-,-
Total Core Markets,119,1,543,21.2%
Northeast,-,27,-,0.0%
Central,-,28,-,0.0%
Southeast,-,35,-,0.0%
West,-,46,-,0.0%
USA Spa,-,135,-,0.0%
