kEUR,Jan-26A MTD,Budget,Prior,% vs Bud
Germany,244,312,415,78.1%
Benelux,74,142,108,52.0%
Switzerland,42,52,48,79.8%
Spain,5,12,7,37.9%
France,1,4,2,31.6%
Italy,3,1,-,271.6%
UK - Spa,9,14,21,64.0%
UK - Retail,1,19,25,6.0%
USA - Spa,37,63,72,59.5%
USA - Retail,-,2,5,0.0%
USA - Other,-,-65,-4,-0.0%
Distributor - Austria,57,39,28,146.8%
Distributor - South Africa,-,-,85,-
Distributor - Russia,-,-,-,-
Distributor - Other EU,24,37,3,65.5%
Distributor - Other ROW,4,2,6,203.4%
Distributor - New,-,-,-,-
Export - Direct business,6,3,6,208.5%
Company 1 Sales,507,637,827,79.6%
Distributor - China,-,24,59,0.0%
Distributor - Middle East,-,18,-,0.0%
Distributor - APAC,-,-,-,-
Company 2 Sales,-,42,59,0.0%
eCommerce EU (incl. UK),57,68,61,84.2%
Amazon,-,6,5,0.0%
eCommerce USA,28,31,37,89.1%
Global etailers,-,3,4,0.0%
Company 3 Sales,85,108,107,78.6%
Total Sales,592,787,994,75.2%
Kerstin,41,51,47,79.9%
Marina,18,53,63,33.5%
Sibylle,135,120,229,112.2%
Aracelli,13,48,52,27.1%
Retail,11,-,14,-
Other DE,4,-,9,-
Germany,221,272,415,81.2%
Marjelein,40,60,70,67.5%
Gabrielle,33,61,38,54.6%
Other NL,-,-,-,-
Benelux,74,121,108,61.0%
Christiane,40,49,44,81.0%
FR Swiss,2,-,1,-
Other CH,-,-,4,-
Switzerland,42,49,48,84.7%
Spain,-,-,7,-
France,1,-,2,-
Italy,3,-,-,-
Total Core Markets,340,442,580,77.0%
Northeast,6,8,4,77.9%
Central,7,15,6,45.8%
Southeast,16,22,51,73.4%
West,11,14,12,78.9%
USA Spa,40,59,73,68.3%
